S. No;Quotation;Author;;;;;;;;;;;;;;;;;;
2394;Hold fast to the diary from today on! Write regularly! Don't surrender! Even if no salvation should come, I want to be worthy of it every moment.;Franz Kafka;;;;;;;;;;;;;;;;;;
2395;He was a tool of the boss, without brains or backbone.;Franz Kafka,;;;;;;;;;;;;;;;;;;
2396;The right understanding of any matter and a misunderstanding of the same matter do not wholly exclude each other.;Franz Kafka,;;;;;;;;;;;;;;;;;;
2397;Being alone has a power over me that never fails. My interior dissolves (for the time being only superficially) and is ready to release what lies deeper. When I am willfully alone, a slight ordering of my interior begins to take place and I need nothing more.;Franz Kafka,;;;;;;;;;;;;;;;;;;
2398;I long for you;;;;;;;;;;;;;;;;;;;
2399;Dear Milena,I wish the world were ending tomorrow. Then I could take the next train, arrive at your doorstep in Vienna, and say: Come with me, Milena. We are going to love each other without scruples or fear or restraint. Because the world is ending tomorrow. Perhaps we don’t love unreasonably because we think we have time, or have to reckon with time. But what if we don't have time? Or what if time, as we know it, is irrelevant? Ah, if only the world were ending tomorrow. We could help each other very much.;Franz Kafka,;;;;;;;;;;;;;;;;;;
2400;The books we need are of the kind that act upon us like a misfortune, that makes us suffer like the death of someone we love more than ourselves, that make us feel as though we were on the verge of suicide, lost in a forest remote from all human habitation.;Franz Kafka,;;;;;;;;;;;;;;;;;;
2401;Nothing unites two people so completely, especially if, like you and me, all they have is words.;Franz Kafka,;;;;;;;;;;;;;;;;;;
2402;But I’m not guilty, said K. there’s been a mistake. How is it even possible for someone to be guilty? We’re all human beings here, one like the other. That is true said the priest but that is how the guilty speak;Franz Kafka,;;;;;;;;;;;;;;;;;;
2403;The person I am in the company of my sisters has been entirely different from the person I am in the company of other people. Fearless, powerful, surprising, moved as I otherwise am only when I write.;Franz Kafka,;;;;;;;;;;;;;;;;;;
2404;I lack nothing. I only needed myself.;Franz Kafka;;;;;;;;;;;;;;;;;;
2405;I do not read advertisements. I would spend all of my time wanting things. ;Franz Kafka;;;;;;;;;;;;;;;;;;
2406;Every revolution evaporates and leaves behind only the slime of a new bureaucracy.;Franz Kafka;;;;;;;;;;;;;;;;;;
2407;So eager are our people to obliterate the present.;Franz Kafka;;;;;;;;;;;;;;;;;;
2408;You misinterpret everything, even the silence.;Franz Kafka,;;;;;;;;;;;;;;;;;;
2409;Even the merest gesture is holy if it is filled with faith.;Franz Kafka;;;;;;;;;;;;;;;;;;
2410;I am too tired, I must try to rest and sleep, otherwise I am lost in every respect. What an effort to keep alive! Erecting a monument does not require an expenditure of so much strength.;Franz Kafka;;;;;;;;;;;;;;;;;;
2411;What's happened to me,' he thought. It was no dream.;Franz Kafka,;;;;;;;;;;;;;;;;;;
2412;But sleep? On a night like this? What an idea! Just think of how many thoughts a blanket smothers while one lies alone in bed, and how many unhappy dreams it keeps warm.;Franz Kafka;;;;;;;;;;;;;;;;;;
2413;Calm —indeed the calmest— reflection might be better than the most confused decisions;Franz Kafka,;;;;;;;;;;;;;;;;;;
2414;Someone must have slandered Josef K., for one morning, without having done anything truly wrong, he was arrested.;Franz Kafka,;;;;;;;;;;;;;;;;;;
2415;If a man has his eyes bound, you can encourage him as much as you like to stare through the bandage, but he'll never see anything.;Franz Kafka,;;;;;;;;;;;;;;;;;;
2416;You once said that you would like to sit beside me while I write. Listen, in that case I could not write at all. For writing means revealing oneself to excess;;;;;;;;;;;;;;;;;;;
2417;Everyone carries a room about inside him. This fact can even be proved by means of the sense of hearing. If someone walks fast and one pricks up one’s ears and listens, say in the night, when everything round about is quiet, one hears, for instance, the rattling of a mirror not quite firmly fastened to the wall.;Franz Kafka,;;;;;;;;;;;;;;;;;;
2418;Pienso que sólo debemos leer libros de los que muerden y pinchan. Si el libro que estamos leyendo no nos obliga a despertarnos como un puñetazo en la cara, ¿para qué molestarnos en leerlo? ¿Para que nos haga felices, como dice tu carta? Cielo santo, ¡seríamos igualmente felices si no tuviéramos ningún libro! Los libros que nos hagan felices podríamos escribirlos nosotros mismos, si no nos quedara otro remedio. Lo que necesitamos son libros que nos golpeen como una desgracia dolorosa, como la muerte de alguien a quien queríamos más que a nosotros mismos, libros que nos hagan sentirnos desterrados a los bosques más remotos, lejos de toda presencia humana, algo semejante al suicidio. Un libro debe ser el hacha que rompa el mar helado dentro de nosotros. Eso es lo que creo.;Franz Kafka;;;;;;;;;;;;;;;;;;
2419;2 November. This morning, for the first time in a long time, the joy again of imagining a knife twisted in my heart.;Franz Kafka,;;;;;;;;;;;;;;;;;;
2420;My condition is not unhappiness, but it is also not happiness, not indifference, not weakness, not fatigue, not another interest – so what is it then?;Franz Kafka,;;;;;;;;;;;;;;;;;;
2421;Every thing you love is very likely to be lost, but in the end, love will return in a different way.;Franz Kafka,;;;;;;;;;;;;;;;;;;
2422;What do I have in common with Jews? I don't even have anything in common with myself. ;Franz Kafka;;;;;;;;;;;;;;;;;;
2423;The sister played so beautifully. Her face was tilted to one side and she followed the notes with soulful and probing eyes. Gregor advanced a little, keeping his eyes low so that they might possibly meet hers. Was he a beast if music could move him so?;Franz Kafka,;;;;;;;;;;;;;;;;;;
2424;One has either to take people as they are, or leave them as they are. One cannot change them, one can merely disturb their balance. A human being, after all, is not made up of single pieces, from which a single piece can be taken out and replaced by something else.;Franz Kafka,;;;;;;;;;;;;;;;;;;
2425;You must not pay too much attention to opinions. The written word is unalterable, and opinions are often only an expression of despair.;Franz Kafka,;;;;;;;;;;;;;;;;;;
2426;I can’t feel a thing;;;;;;;;;;;;;;;;;;;
2427;Writing is a deeper sleep than death. Just as one wouldn't pull a corpse from its grave, I can't be dragged from my desk at night.;Franz Kafka;;;;;;;;;;;;;;;;;;
2428;I only fear danger where I want to fear it.;Franz Kafka,;;;;;;;;;;;;;;;;;;
2429;If the book we are reading does not wake us, as with a fist hammering on our skull, why then do we read it?;Franz Kafka;;;;;;;;;;;;;;;;;;
2430;So then you’re free?’ ‘Yes, I’m free,’ said Karl, and nothing seemed more worthless than his freedom.;Franz Kafka,;;;;;;;;;;;;;;;;;;
2431;I can't think of anything to write about, I'm just walking around here between the lines, under the light of your eyes, in the breadth of your mouth as in a beautiful happy day, which remains beautiful and happy, even when the head is sick and tired.;Franz Kafka,;;;;;;;;;;;;;;;;;;
2432;Go on caring for me.;Franz Kafka,;;;;;;;;;;;;;;;;;;
2433;Self-control is something for which I do not strive. Self-control means wanting to be effective at some random point in the infinite radiations of my spiritual existence.;Franz Kafka;;;;;;;;;;;;;;;;;;
2434;Si el libro que leemos no nos despierta de un puñetazo en el cráneo, ¿para qué leerlo?… Un libro tiene que ser un hacha que rompa el mar de hielo que llevamos dentro.;Franz Kafka;;;;;;;;;;;;;;;;;;
2435;Now the Sirens have a still more fatal weapon than their song, namely their silence... someone might possibly have escaped from their singing;;;;;;;;;;;;;;;;;;;
2436;What a fate: to be condemned to work for a firm where the slightest negligence at once gave rise to the gravest suspicion! Were all the employees nothing but a bunch of scoundrels, was there not among them one single loyal devoted man who, had he wasted only an hour or so of the firm's time in the morning, was so tormented by conscience as to be driven out of his mind and actually incapable of leaving his bed?;Franz Kafka,;;;;;;;;;;;;;;;;;;
2437;Writing is prayer.;Franz Kafka;;;;;;;;;;;;;;;;;;
2438;Nor is it perhaps really love when I say that for me you are the most beloved;;;;;;;;;;;;;;;;;;;
2439;... it is, after all, not necessary to fly right into the middle of the sun, but it is necessary to crawl to a clean little spot on Earth where the sun sometimes shines and one can warm oneself a little.;Franz Kafka,;;;;;;;;;;;;;;;;;;
2440;There's no quiet place here on earth for our love, not in the village and not anywhere else, so I picture a grave, deep and narrow, in which we embrace as if clamped together, I bury my face against you, you yours against me, and no one will ever see us.;Franz Kafka,;;;;;;;;;;;;;;;;;;
2441;I’m doing badly, I’m doing well;;;;;;;;;;;;;;;;;;;
2442;What I write is different from what I say, what I say is different from what I think, what I think is different from what I ought to think and so it goes further into the deepest darkness.;Franz Kafka;;;;;;;;;;;;;;;;;;
2443;It is not necessary to accept everything as true, one must only accept it as necessary;Franz Kafka,;;;;;;;;;;;;;;;;;;
2444;"it was like this. the brain could no longer bear the worries and pains that were imposed on it. it said: ""i'm giving up";;;;;;;;;;;;;;;;;;;
2445;It would be very unjust to say that you deserted me, but that I was deserted, and sometimes terribly so, is true.;Franz Kafka,;;;;;;;;;;;;;;;;;;
2446;It is only because of their stupidity that they are able to be so sure of themselves.;Franz Kafka;;;;;;;;;;;;;;;;;;
2447;I carry the bars within me.;Franz Kafka;;;;;;;;;;;;;;;;;;
2448;"the blend of absurd, surreal and mundane which gave rise to the adjective ""kafkaesque";Franz Kafka,;;;;;;;;;;;;;;;;;;
2449;August 2, 1914: Germany has declared war on Russia. Went swimming in the afternoon.;Franz Kafka;;;;;;;;;;;;;;;;;;
2450;It seems to be a fact that man, tortured by his demons, avenges himself blindly on his fellow-man.;Franz Kafka,;;;;;;;;;;;;;;;;;;
2451;And don't demand any sincerity from me, Milena. No one can demand it from me more than I myself and yet many things elude me, I'm sure, perhaps everything eludes me.;Franz Kafka,;;;;;;;;;;;;;;;;;;
2452;"Like a dog!"" he said, it was as if the shame of it should outlive him.";Franz Kafka,;;;;;;;;;;;;;;;;;;
2453;All knowledge, the totality of all questions and answers, is contained in the dog.;Franz Kafka,;;;;;;;;;;;;;;;;;;
2454;I feel an unhappiness which almost dismembers me, and at the same time am convinced of its necessity;Franz Kafka,;;;;;;;;;;;;;;;;;;
2455;If you become involved with me, you will be throwing yourself into the abyss.;Franz Kafka;;;;;;;;;;;;;;;;;;
2456;I like to make use of what I know;Franz Kafka,;;;;;;;;;;;;;;;;;;
2457;There has never been a time in which I have been convinced from within myself that I am alive. You see, I have only such a fugitive awareness of things around me that I always feel they were once real and are now fleeting away. I have a constant longing, my dear sir, to catch a glimpse of things as they may have been before they show themselves to me. I feel that they were calm and beautiful. It must be so, for I often hear people talking about them as though they were.;Franz Kafka;;;;;;;;;;;;;;;;;;
2458;the poisonous world flows into my mouth like water into that of a drowning man;Franz Kafka,;;;;;;;;;;;;;;;;;;
2459;Life is merely terrible;;;;;;;;;;;;;;;;;;;
2460;One must fight to get to the top, especially if one starts at the bottom.;Franz Kafka,;;;;;;;;;;;;;;;;;;
2461;Every word first looks around in every direction before letting itself be written down by me.;Franz Kafka;;;;;;;;;;;;;;;;;;
2462;Milena - what a rich heavy name, almost too full to be lifted, and in the beginning I didn't like it much, it seemed to me a Greek or Roman gone astray in Bohemia, violated by Czech, cheated of its accent, and yet in colour and form it is marvellously a woman, a woman whom one carries in one's arms out of the world, and out of the fire, I don't know which, and she presses herself willingly and trustingly into your arms.;Franz Kafka,;;;;;;;;;;;;;;;;;;
2463;Each of us has his own way of emerging from the underworld, mine is by writing. That's why the only way I can keep going, if at all, is by writing, not through rest and sleep. I am far more likely to achieve peace of mind through writing than the capacity to write through peace.;Franz Kafka,;;;;;;;;;;;;;;;;;;
2464;If the book we are reading does not wake us, as with a fist hammering on our skulls, then why do we read it? Good God, we also would be happy if we had no books and such books that make us happy we could, if need be, write ourselves. What we must have are those books that come on us like ill fortune, like the death of one we love better than ourselves, like suicide. A book must be an ice axe to break the sea frozen inside us.What we need are books that hit us like a most painful misfortune, like the death of someone we loved more than we love ourselves, that make us feel as though we had been banished to the woods, far from any human presence, like a suicide. A book must be the ax for the frozen sea within us.;Franz Kafka;;;;;;;;;;;;;;;;;;
